Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Liliaceae","Allium","stellatum Ker-Gawl.","","","","","","","06-441s","06/11/2006","JBU.Vitebsk (Bielorussie)","B6 - Caucase","","",""
"Liliaceae","Allium","suaveolens Jacq.","","","","","","Sud-ouest et C-Europe, N-Italie; Albanie","97-684s","12/07/1999","JB.Lyon (France)","C3 - Péninsule Ibérique","","",""
"Liliaceae","Allium","tuberosum Rottl.","","","","","","Malabar","95-2429s","12/05/1998","JB.Hiroshima (Japon)","D3H - Chine, Japon","","",""
"Alliaceae","Allium","tuberosum Rottler","","","","","","Chine","06-1014s","28/03/2008","JB.Kyoto (Japon)","D3B - Japon","","",""
"Alliaceae","Allium","barsczewskii Lipsky","","","","","","Asie centrale","07-835s","13/10/2010","JB. Göteborg (Suède)","B6 - Caucase","","",""
"Alliaceae","Allium","christophii Trautv.","","","","","","Nord Iran","06-934s*","13/10/2010","JB. De Voronozh (Russie)","B6 - Caucase","","",""
"Brassicaceae","Allyssoides","sinuata Medicus","","","","","","Balkans et Est Italie","08-265s","02/03/2009","JB.Graz (Autriche)","B9 - Carpates-Balkans","","",""
"Amaryllidaceae","Alstroemeria","sp.","","","","","","","94-6049p","","Mr Barraud St Jean de Monts","A10 - ","","",""
"Brassicaceae","Alyssoides","sinuata Medicus.","","","","","","NO-Balkan et E-Italie","96-645s*","12/05/1998","JB.Floralpina Arras","B3 - Alpes Calcaires","","",""
"Brassicaceae","Alyssoides","utriculata  Medik.","","","","","","Europ.","07-317s","28/03/2008","J.Montreux (France)","B3 - Alpes calcaires","","",""
"Brassicaceae","Alyssum","altaicum G.A.Mey.","","","","","","Siberie-Asie","08-468s","02/03/2009","JB.Reykjavik (Islande)","D1 - Chine, Japon","","",""
"Caryophyllaceae","Alyssum","spinosum L.","","","","","","W.med.","08-573s","02/03/2009","JB.Munich (Allemagne)","C3 - Péninsule Ibérique","Rochers calcaires","",""
"Fabaceae","Amphicarpaea","bracteata Fern.","","","","","","E. et C. Amérique du Nord","06-428s*","28/03/2008","JB.Montréal (Canada)","C3 - Am-du Nord","","",""
"Apocynaceae","Amsonia","ludoviciana Small.","","","","","","Am.bor","03-525s","27/03/2006","JB.Lewis Ginter (USA)","C5 - Am-du Nord","","",""
"Apocynaceae","Amsonia","tabernaemontana Walt.","","","","","","Amérique boréale","95-2672s","","JB.Kyoto (Japon)","C4 - Am-du Nord","","",""
"Apocynaceae","Amsonia","tabernaemontana Walt.","","","","","","Amérique du Nord","00-1313s*","21/03/2003","Arboretum Morton Lisle (U.S.A.)","C4 - Am-du Nord","","",""
"Apocynaceae","Amsonia","tabernaemontana Walt.","","","","","","Rocheuses Appalaches","03-1943s","27/03/2006","JB.The Kyoto (Japon)","C5 - Am-du Nord","","",""
"Asteraceae","Anaphalis","margaritacea Benth. et Hook.f.","","","","","","Amérique boréale","Anc.coll.","","","C4 - Am-du Nord","","",""
"Poaceae","Andropogon","gerardii Vitman","","","","","","N-Am","06-1750*","28/03/2008","JB.W.J Beal Michigan (USA.)","C4 - Am-du Nord","","",""
"Poaceae","Andropogon","hallii Hack.","","","","","","Amérique du Nord","06-461s","28/03/2008","JB.Weinheim (Allemagne)","C3 - Am-du Nord","","",""
"Poaceae","Andropogon","ternarius  Michx.","","","","","","Amérique du Nord","06-467s","28/03/2008","JB.Chemnitz (Allemagne)","C3 - Am-du Nord","","",""
"Primulaceae","Androsace","adfinis","brigantiaca (Jord. & Fourr.) Kress","","","","","S.W. Alpes","10.408s","29/03/2011","J.B. Erlangen (Pays Bas)","B3 - Alpes Calcaires","","A. carnea subsp. brigantiaca (Jord. & Fourr.) I.K.Ferguson",""
"Primulaceae","Androsace","lactea L.","","","","","","Centre Europe","10.390s","29/03/2011","J.B. Kosice (Slovaquie)","C8 - Carpates-Balkans","éboulis calcaires","Filago arvensis L.",""
"Primulaceae","Androsace","sempervivoides Jacquem.","","","","","","Reg. Himal., Mongolie","10.402s","29/03/2011","J.B. Graz (Autriche)","E1 - Himalaya","","",""
"Primulaceae","Androsace","villosa L.","","","","","","Europe, Asie","10.401s","29/03/2011","J.B. Graz (Autriche)","B4 - Pyrénées Calcaires","","",""
"Poaceae","Anemanthele","lessoniana Veldkamp","","","","","","","05-2940s","06/11/2006","JB.Dunedin (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Ranunculaceae","Anemone","cylindrica A.Gray","","","","","","N.Am.","08-796s*","02/03/2009","JB.Montréal (Canada)","C4 - Am-du Nord","","",""
"Renonculaceae","Anemone","hupehensis  Hort.","","Praecox","","","","Obtention horticole","86-3862p","","Ets.Lepage","G2 - Australie","","",""
"Ranunculaceae","Anemone","multifida  Poir.","","","multifida","","","Rég.Magell, Argentine","06-483s","","JB.Chemnitz (Allemagne)","E2 - Andes","","",""
"Ranunculaceae","Anemone","multifida  Poir.","","","multifida","","","Rég.Magell, Argentine","07-414s","28/03/2008","JB.Munich (Allemagne)","E2 - Andes","","",""
"Ranuculaceae","Anemone","multifida Poir.","","","multifida","","","Magellan region, Argentina","06-306s","06/11/2006","JB.Munich (Allemagne)","B3 - Alpes Calcaires","","",""
"Ranunculaceae","Anemone","multifida Poiret","","","","","","Region de Magellan-Argentine","07-1604s","02/03/2009","JB.Chemnitz (Allemagne)","E2 - Andes","","",""
"Ranuculaceae","Anemone","narcissiflora L.","","","","","","S- et C-Europe","05-290s","06/11/2006","J.Alp.Trento (Italie)","E2 - Apennins","","",""
"Renonculaceae","Anemone","polyantha D.Don.","","","","","","Himalaya","88-2010s","","J.Alp.La Thomasia (Suisse)","E1 - Himalaya","","",""
"Ranunculaceae","Anemone","virginiana Mill.","","","","","","Amérique du Nord","06-484s","28/03/2008","JB.Chemnitz (Allemagne)","C3 - Am-du Nord","","",""
"Apiaceae","Angelica","archangelica L.","litoralis Thell.","","","","","N-Europe","01-486s*","08/03/2004","JB.Museum Ager naturel lundsiden (Norvège)","A10 - ","Estuaires manche, mer du nord","",""
"Apiaceae","Angelica","keiskei  Koidz.","","","","","","Japon; E.Asie; Asie temp.","07-325s","28/03/2008","JB.Kyoto (Japon)","D3A - Japon","","",""
"Polygonaceae","Antenoron","filiforme Roberty & Vautier","","","","","","Japon","05-10s*","27/03/2006","JB.The Hiroshima ""Sacki-Ku (Japon)","D1 - Chine, Japon","","",""
"Asteraceae","Anthemis","rigescens Willd.","","","","","","","06-253s","06/11/2006","JB.Munich (Allemagne)","B3 - Alpes Calcaires","","",""
"Asteraceae","Anthemis","tinctoria L.","tinctoria","","","","","C-& S-Europe","06-241s*","06/11/2006","JB.Téhéran (Iran)","B3 - Alpes Calcaires","Sec","",""
"Liliaceae","Anthericum","liliago L.","","","","","","Partie Belgique et Sud de la Suède, vers le Nord du Portugal, Sud d' Italie et Grèce.","98-1028s","26/04/2001","JBU.Marburg (Allemagne)","B3 - Alpes Calcaires","Bois ouvert, prairie sèche, pente naturel rocailleux.","",""
"Liliaceae","Anthericum","ramosum  Lam.","","","","","","Collines et montagnes d'Europe","97-1385s","12/07/1999","JB.Samouns","B3 - Alpes Calcaires","","",""
"Fabaceae","Anthyllis","vulneraria L.","alpestris Ascherson & Graebner","","","","","Carpates","05-1831s","06/11/2006","JB.Bern (Suisse)","B3 - Alpes Calcaires","","",""
"Aponogetonaceae","Aponogeton","distachyos L.","","","","Aponogéton distique","Plante naturalisée dans l'Ouest. Floraison odorante en fin d'hiver et au printemps.","S-Afrique","Anc.coll.","","","C5 - Chaînes Pontiques","","",""
"Renonculaceae","Aquilegia","areata? Koch.","","","","","","","92-1363s*","","J.Alp.flore-Alpe Champex-Lac (Suisse)","B3 - Alpes Calcaires","","",""
"Ranuculaceae","Aquilegia","atrata Koch","","","","","","Europe","05-1821s","28/03/2008","Hortus botanicus Pietra Corva (Italie)","C5 - Asie mineure","","",""
"Ranunculaceae","Aquilegia","atrata Koch","","","","","","Alpes, Apennin (Italie)","00-650s*","21/03/2003","JBU.Zürich (Suisse)","B3 - Alpes Calcaires","","",""
"Ranunculaceae","Aquilegia","atrata Koch","","","","","","Alpes, Apennin (Italie)","92-1186s*","21/03/2003","JBU.Zürich (Suisse)","B3 - Alpes Calcaires","","",""
"Renonculaceae","Aquilegia","atrovinosa Popov.","","","","","","Russie, (Asie centrale)","84-278p","","JB.Amsterdam (Hollande)","B4 - Caucase","","",""
"Ranunculaceae","Aquilegia","buergeriana Sieb.& Zucc.","","","","","","Asie-Japon","08-237s","02/03/2009","JB.Regensburg (Allemagne)","D3A - Chine, Japon","","",""
"Ranunculaceae","Aquilegia","canadensis L.","","","","","","Amérique boréale","88-874s*","","JB.Framingham (USA)","C4 - Am-du Nord","","",""
"Renonculaceae","Aquilegia","canadensis L.","","","","","","Amérique boréale","90-2280s","","Université Bot. Toronto (Canada)","C4 - Am-du Nord","","",""
