Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Primulaceae","Primula","zambalensis Petitm.","","","","","","Chine","08-1057s","13/10/2010","JB. Brno ( Rep. Tchèque)","D1 - Chine            Japon","","",""
"Lamiaceae","Prunella","grandiflora Scholler","","","","","","Europe","08-1015s","02/03/2009","JB.Bremen (Allemagne)","C3 - Péninsule Ibérique","","",""
"Lamiaceae","Prunella","vulgaris L.","","","lilacina Nakai","","","Japon","06-1492s","06/04/2008","Inst. Bio. Medic. Tsukuba, Ibaraki","D1 - Chine, Japon","","",""
"Scrphulariaceae","Pseudolysimachion","kiusianum  T. Yamazaki","","","","","","Japon","07-916s","28/03/2008","JB.Yeomjii (Corée)","D3C - Japon","","",""
"Scrphulariaceae","Pseudolysimachion","longifolium Opiz","","","","","","N, E & C Europe, Asie","06-1626s*","28/03/2008","JB.Postdam (Allemagne)","B6 - Caucase","","",""
"","Ptilostemon","afer Greuter","","","","","","Europe ?","03-1329s","27/03/2006","JBU.Graz (Autriche)","B3 - Alpes Calcaires","","",""
"Boraginaceae","Pulmonaria","mollis Wulfen","","","","","","S.Est Europe","07-1259s","02/03/2009","Arboretum de Bolestraszyce (Pologne)","B9 - Carpates-Balkans","","",""
"Boraginaceae","Pulmonaria","montana Wulf. ex Schrank","mollis","","","","","Centre et S.E. Europe","10.54s","29/03/2011","J.B Bayreuth (Allemagne)","C8 - Carpates-Balkans","","",""
"Ranunculaceae","Pulsatilla","albana Bercht & Prest","","","","","","Oriens, As.bor","02-1760s","27/03/2006","JB.Göteborg (Suède)","B9 - Carpates-Balkans","","",""
"Ranunculaceae","Pulsatilla","bungeana C.A. Mey.","","","","","","Russie, Chine","10.252s","29/03/2011","J.B. Klagenfurt (Autriche)","D3C - Chine, Japon","","",""
"Ranunculaceae","Pulsatilla","georgica Rupr.","","","","","","Asie tempérée, Caucase:Géorgie","10.250s","29/03/2011","J.B. Klagenfurt (Autriche)","B8 - Caucase","","",""
"Ranunculaceae","Pulsatilla","montana Rchb.","montana","","","","","E. Europe","10.251s","29/03/2011","J.B. Klagenfurt (Autriche)","B4 - Caucase","","P. ambigua Jord",""
"Ranunculaceae","Pulsatilla","montana Reichb.","","","","","","Europe.; Caucase","96-1415s","21/04/1998","JBU.Gödöllö (Hongrie)","B3 - Alpes Calcaires","","",""
"Ranunculaceae","Pulsatilla","zimmermannii Soo","","","","","","Hongrie","10.45s","29/03/2011","J.B. Bayreuth (Allemagne)","C8 - Carpates-Balkans","","",""
"Bromeliaceae","Puya","mirabilis L.B. Smith","","","","","","?","94-2108s","","JB.Desert Phoenix USA.","A2 - ","","",""
"Bromeliaceae","Puya","sp.","","","","","","Bolivia, Cochabamba","92-999s*","","JB.Huntington (USA)","A2 - ","","",""
"Lamiaceae","Pycnanthemum","virginianum Durand & B.D.Jacks","","","","","","N. Am.","10.498s","29/03/2011","J.B. Marie Curie, Lublin (Pologne)","C5 - Am-du Nord","","",""
"Lamiaceae","Pycnanthemum","virginianum Pers.","","","","","","Ouest Nord d' Amérique","99-423s","26/04/2001","JBU.East Lansing (USA)","C4 - Am-du Nord","Soleil très sec","",""
"Ranunculaceae","Ranunculus","gramineus L.","","","","","","Europe","08-754s","02/03/2009","JB.Leipzig (Allemagne)","B3 - Alpes Calcaires","Pelouses seches-bois clairs-calcaire","",""
"Ranunculaceae","Ranunculus","strigulosus Schur.","","","","","","Est et Centre Europe","07-1257s","02/03/2009","JB.Bolestraszyce (Pologne)","B9 - Carpates-Balkans","","",""
"Brassicaceae","Rapistrum","perenne All.","","","","","","Europe Roumanie","06-325s","06/11/2006","JB.Lasi (Roumanie)","B9 - Carpates-Balkans","","",""
"Asteraceae","Ratibida","columnifera Wooton & Standl.","","","","","","N. Am.","10.100s","29/03/2011","Sichtungs garten Weinheim (Allemagne)","C3 - Am-du Nord","","",""
"Asteraceae","Ratibida","pinnata Bamh.","","","","","","Am.bor.","01-1119s*","27/03/2006","JBU.Lansing (U.S.A.)","C5 - Am-du Nord","","",""
"Asteraceae","Reichardia","picroides Roth.","","","","","","Italie","05-2278s","06/11/2006","JB.Munich (Allemagne)","C3 - Péninsule Ibérique","","",""
"Liliaceae","Reineckia","carnea Kunth.","","","","","","Chine.; Japon","Anc.coll.","","","D3B - Chine, Japon","","",""
"Liliaceae","Reineckia","carnea Kunth.","","","","","","Chine.; Japon","Anc.coll.","","","D3F - Chine, Japon","","",""
"Polygonaceae","Rheum","macrocarpum Losina-Losinsk.","","","","","","Turkestan","90-3169s","","JB.Leipzig (Allemagne)","C5 - Chaînes Pontiques","","",""
"Polygonaceae","Rheum","palmatum L.","","","","","","N.W Chine","10.475s","29/03/2011","J. alpin Viotte, Trento (Italie)","D3A - Chine, Japon","","",""
"Crassulaceae","Rhodiola","kirilowii Regel","","","","","","Bulgarie","87-598s","","Grugapark Essen (Allemagne)","C9 - Carpates-Balkans","","Sedum Kostovii",""
"Crassulaceae","Rhodiola","rhodantha Jacobs.","","","","","","U.S.A.","10-79s","29/03/2011","J.B. Munchen (Allemagne)","C4 - Am-du Nord","","",""
"Crassulaceae","Rhodiola","rosea L.","","","","","","Centre, S. et N. Europe, Sibérie occidentale","10.528s","29/03/2011","J. alpin la Ramberta, Montreux (Suisse)","B3 - Alpes Calcaires","","",""
"Crassulaceae","Rhodiola","semenovii A. Boriss.","","","","","","Chine","10.75s","29/03/2011","J.B. Munchen (Allemagne)","D3A - Chine, Japon","","",""
"Crassulaceae","Rosularia","libanotica Muirhead","","","","","","?","89-1507s*","","Mr.Chaouat","A2 - ","","",""
"Crassulaceae","Rosularia","sempervivum (M.Bieb.) A.Berger","","","","","","Asie mineure, Caucase","10.413s","29/03/2011","J.B. Erlangen (Pays Bas)","C5 - Asie Mineure","","",""
"Crassulaceae","Rosularia","sempervivum (M.Bieb.) A.Berger","libanotica (Labill.) Eggli","","","","","?","10.76s*","29/03/2011","J.B. Munchen (Allemagne)","C3 - Péninsule Ibérique","","",""
"Polygonaceae","Rumex","arifolius All.","","","","","","Balkans","07-1115s*","02/03/2009","JB.Leiden (Pays- Bas)","C8 - Carpates-Balkans","","",""
"Palmaceae","Sabal","havanensis Lodd.","","","","","","?","79-157","","Palerme?","E1 - Himalaya","","",""
"Palmaceae","Sabal","minor Pers.","","","","","","?","85-871s","","JBN.La Havane (Cuba)","E1 - Himalaya","","",""
"Lamiaceae","Salvia","bucharica Popov.","","","","","","Turkestan","08-740s","02/03/2009","JB.Leipzig (Allemagne)","B6 - Caucase","","",""
"Lamiaceae","Salvia","cf.orbignaei Benth.(4 pieds)","","","","","","","03-930s*","","","E2 - Andes","","",""
"Lamiaceae","Salvia","glutinosa L.","","","","","","Europe australe.; Himalaya","86-901s","","JBU.Oslo (Norvège)","B3 - Alpes Calcaires","","",""
"Lamiaceae","Salvia","hierosolymitana Boiss.","","","","","","Syrie","08-1136s*","13/10/2010","JB. Jerusalem (Israel)","C5 - Asie Mineure","","",""
"Lamiaceae","Salvia","stepposa Schost.","","","","","","Russie, Sibérie occidentale, C-Asie","98-1849s","26/04/2001","Académie des Sciences Ouzbekistan","C5 - Chaînes Pontiques","Steppes et prairies steppiques arides","",""
"Lamiaceae","Salvia","tesquicola  Klokov et Pobed","","","","","","As. Centr.","07-861s","28/03/2008","JB.Göteborg (Suède)","B4 - Caucase","","",""
"Lamiaceae","Salvia","tesquicola Klokov & Pobedium","","","","","","Asie centrale","88-2235s*","","JB.Moscou?","C5 - Chaînes Pontiques","","",""
"Lamiaceae","Salvia","tesquicola Klokov.& Pobed.","","","","","","Asie Centrale","07-1851s*","02/03/2009","JB.Rostov ad Donum (Russie)","D1 - Chine, Japon","","",""
"Lamiaceae","Salvia","tomentosa Mill.","","","","","","?","90-2223s","","JB.Leningrad (Russie)","A10 - ","","grandiflora",""
"Lamiaceae","Salvia","transilvanica Schur.","","","","","","Asie centrale","06-322s","06/11/2006","JB.Munich (Allemagne)","E1 - Himalaya","","",""
"Lamiaceae","Salvia","verticillata L.","","","","","","Europe australe","07-1850s*","02/03/2009","JB.Rostov ad Donum (Russie)","C8 - Carpates-Balkans","","",""
"Rosaceae","Sanguisorba","hakisanensis Makino","","","","","","Japon","07-1405s","02/03/2009","Arboretum  Universitée de Seoul-Suwon (Corée)","D3B - Japon","","",""
"Apiaceae","Sanicula","chinensis Bunge","","","","","","Chine, N Jap., Corée, Russie","08-941s*","13/10/2010","JB. Vladivostok (Russie)","D1 - Chine            Japon","","",""
"Apiaceae","Sanicula","chinensis Bunge","","","","","","Chine, N Jap., Corée, Russie","07-1835s","13/10/2010","Inst. Med. Tsukuba (Japon)","D1 - Chine            Japon","","",""
"Apiaceae","Sanicula","marilandica L.","","","","Sanicle du Maryland","","Amérique boréale","04-1402s*","06/11/2006","JB.Berkeley (USA)","B3 - Alpes Calcaires","Bois et clairière, sol riche humus et frais","",""
"Apiaceae","Sanicula","marilandica L.","","","","","","Amérique boréale","08-785s*","13/10/2010","JB. Montréal (Canada)","C4 - Amérique du Nord","","",""
"Caryophyllaceae","Saponaria","caespilosa","","","","","","","05-1932s*","","J.Alp.Belvedere Wien (Autriche)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Saponaria","ocymoides L.","","","","","","Europe australe","89-2695s","","J.Alp.Meyrin (Suisse)","B4 - Pyrénées Calcaires","","",""
"Caryophyllaceae","Saponaria","persica Boiss.","","","","","","Perse","10.398s","29/03/2011","J.B. Graz (Autriche)","C5 - Am-du Nord","","",""
"Caryophyllaceae","Saponaria","caespitosa DC.","","","","","","Pyrénées","10.57s","29/03/2011","J.B Postdam (Allemagne)","B4 - Pyrénées Calcaires","pelouses rocailleuses, éboulis","",""
"Poaceae","Sasa","pumila E.G. Camus","","","","","","?","Anc.coll.","",""," - ","","",""
"Lamiaceae","Satureja","montana  L.","","","","","","Europ.austr.; Rég.caucase","05-1170s","28/03/2008","JB.Przemyl (Pologne)","C3 - Péninsule Ibérique","","",""
"Lamiaceae","Satureja","montana L.","","","","","","Europe australe.; Caucase","87-561s","","Grugapark Essen (Allemagne)","B3 - Alpes Calcaires","","",""
"Lamiaceae","Satureja","montana L.","","","","","","Europe australe.; Caucase","97-146s*","","JB.Dijon (France)","B3 - Alpes Calcaires","","",""
"","Saussurea","grandifolia Maxim.","","","","","","Régions de l'Amour (Russie orientale, Chine)","03-1330s","27/03/2006","JBU.Graz (Autriche)","D1 - Chine, Japon","","",""
"Saxifragaceae","Saxifraga","chrysosplenifolia Boiss.","","","","","","S-Balkans","89-2553s","","J.Alp.Meyrin (Suisse)","C8 - Carpates-Balkans","","",""
"Saxifragaceae","Saxifraga","crustata Vest.","","","","","","Europe australe","02-1174s","27/03/2006","JB.Chemnitz (Allemagne)","B4 - Pyrénées Calcaires","","",""
"Saxifragaceae","Saxifraga","hostii Tausch.","hirsuta","","","","","E-Alpes, principalement sur le côté Sud.","99-393s*","26/04/2001","J.Alp.Graz (Autriche)","B3 - Alpes Calcaires","Calcaire","",""
"Saxifragaceae","Saxifraga","umbrosa L.","","","","","","Europe occidentale","Anc.coll.","",""," - ","","",""
"Saxifragaceae","Saxifraga","umbrosa L.","","","","","","Europe occidentale","Anc.coll.","","","B3 - Alpes Calcaires","","",""
"Saxifragaceae","Saxifraga","exarata Vill.","","","","","","Alpes, Jura, Apennin (Italie), Balkans","05-288s*","06/11/2006","J.Alp.Trento (Italie)","B4 - Pyrénées Calcaires","Rochers, éboulis, murs (préfére silice)","",""
"Saxifragaceae","Saxifraga","paniculata Mill.","","","","","","Norvège, Islande, Groenland, centre et S. Europe, Caucase, Canada","04.79s","29/03/2011","J.B. Stiftung, Grüningen (Suisse)","C3 - Am-du Nord","","",""
"Dipsacaceae","Scabiosa","colchica Stev.","","","","","","Caucase","06-319s","06/11/2006","JB.Munich (Allemagne)","B6 - Caucase","","",""
"Dipsacaceae","Scabiosa","georgica Sulak.","","","","","","Caucase","06-320s","06/11/2006","JB.Munich (Allemagne)","B9 - Carpates-Balkans","","",""
"Dipsacaceae","Scabiosa","graminifolia  L.","","","","","","Europ.austr","06-2323s","28/03/2008","JB.Copenhage (Danemark)","B3 - Alpes calcaires","","",""
"Dipsacaceae","Scabiosa","graminifolia L.","","","","","","Aples Pyrénées, Apennins Ibérique, Balkans","08-478s","02/03/2009","JB.Graz (Autriche)","B3 - Alpes Calcaires","","",""
"Dipsacaceae","Scabiosa","hymettia  Boiss.et Spruner","","","","","","Grèce","06-2325s*","28/03/2008","JB.Copenhage (Danemark)","C5 - Chaînes Pontiques","","",""
"Dipsacaceae","Scabiosa","lucida  Vill.","","","","","","Europ.","06-1655s","28/03/2008","JB.Bern (Suisse)","C3 - Péninsule Ibérique","","",""
"Dipsacaceae","Scabiosa","lucida Vill.","","","","","","Alpes-Pyrennées-Jura-Appenins","08-843s*","02/03/2009","JB.Olomouc (République Tchèque)","B3 - Alpes Calcaires","","",""
"Dipsacaceae","Scabiosa","triandra  L.","","","","","","S. & SC Europe","06-1594s*","28/03/2008","JB.Cogne (Italie)","C3 - Péninsule Ibérique","","",""
"Dipsacaceae","Scabiosa","columbaria L.","","","","","","Europe, Asie mineure, Caucase","10.508s*","29/03/2011","J.B Wuppertal (Allemagne)","C3 - Péninsule Ibérique","","",""
"Dipsacaceae","Scabiosa","vestina Facch.","","","","","","S. Alpes, N. Apennins, Italie","10.509s*","29/03/2011","J.B Wuppertal (Allemagne)","B3 - Alpes Calcaires","","",""
"Liliaceae","Scilla","bifolia L.","danubialis Speta","","","","","Europe","00-1154s*","06/11/2006","JBU.Komenskéo (Slovaquie)","B9 - Caucase","","",""
"Hyacinthaceae","Scilla","peruviana L.","","","","","","W. Reg. Med. Portugal, Italie, N.Afrique","10.527s","29/03/2011","J. alpin la Ramberta, Montreux (Suisse)","E2 - Apennins","","",""
"Liliaceae","Scilla","reverchonii Degen et Hervier","","","","","","Espagne","86-1363s","","Velbert Erich pusche Jr.?","C3 - Péninsule Ibérique","","",""
"","Scrophularia","aquatica","","","","","","","01-1543s","27/03/2006","","B4 - Pyrénées Calcaires","","",""
"Scrophulariaceae","Scrophularia","grandiflora DC.","","","","","","Espagne-Portugal","08-165s","02/03/2009","JB.Porto (Portugal)","C3 - Péninsule Ibérique","","",""
"Scrophulariaceae","Scrophularia","kakudensis Fr.","","","","","","Japon","07-1630s","02/03/2009","JB.Hokkaido (Japon)","D3A - Chine, Japon","","",""
"Scrophulariaceae","Scrophularia","herminii Hoffmanns. & Link","","","","","","Péninsule ibérique","07-731s","08/08/2008","JB.Porto (Portugal)","C3 - Péninsule Ibérique","","",""
"Lamiaceae","Scutellaria","baicalensis Georgi","","","","","","Sibérie; Asie orientale","06-1187s","28/03/2008","Kyoto Herbal Garden","D1 - Japon","","",""
"Lamiaceae","Scutellaria","lateriflora L.","","","","","","Am. Boréale","06-440s*","28/03/2008","JB.Montréal (Canada)","C3 - Am-du Nord","","",""
"Lamiaceae","Scutellaria","woronowii Juzepczuk","","","","","","Caucase","90-2086s","","JBU.Riga (Lettonie)","B8 - Caucase","","",""
"Crassulaceae","Sedum","aizoon L.","","","","","","Sibérie","96-1714s","12/07/1999","JBU.Ljubljana (Slovénie)","A3 - ","","",""
"Crassulaceae","Sedum","anacampseros L.","","","","","","Pyrénées, Sud-Ouest des Alpes, Apennin (Italie)","95-1366s*","12/05/1998","JB.Chambesy (Genève)","A3 - ","Calcaire","",""
"Crassulaceae","Sedum","anacampseros L.","","","","","","Pyrénées, Alpes, Apennins","02-1574s*","08/03/2004","Museum Nat. d'histoire service de cultures","A3 - ","Rochers silicieux","",""
"Crassulaceae","Sedum","hirsutum All.","","","","","","Europe australe","95-2628p*","","Mr.Figureau C.","A2 - ","","",""
"Crassulaceae","Sedum","kamtchaticum  Fisch. & Mey.","","","","","","Chine, Japon","01-922s*","27/03/2006","BG Matsudo, Chiba Pref.","D1 - Chine, Japon","","",""
"Crassulaceae","Sedum","kamtschaticum  Fisch. & Mey.","","","ellacombianum R.T. Clausen","","","Japon","89-1635s","","JBU.Liège (Belgique)","D1 - Chine, Japon","","","subsp. ellacombianum"
"Crassulaceae","Sedum","magellense Tenore","","","","","","Graec. As. Min.","01-996s*","27/03/2006","Université des sciences Cappito, l'Aquila (Italie)","C8 - Carpates-Balkans","","",""
"Crassulaceae","Sedum","maximum Suter.","","","","","","Europe, Région Caucase","95-3336p","12/05/1998","Mr.C.Bouchy","D3I - Chine, Japon","","",""
"Crassulaceae","Sedum","monregalense Balb.","","","","","","Europe australe","85-832p","","JBU.Liège (Belgique)","B3 - Alpes Calcaires","","",""
"Crassulaceae","Sedum","obtusifolium C.A. Mey.","","","","","","Caucase","92-144s","","Inst.BU.Sch÷nbeinstr (Suisse)","A3 - ","","",""
"Crassulaceae","Sedum","obtusifolium C.A. Mey.","","","","","","Caucase","01-303s*","","","A3 - ","","",""
"Crassulaceae","Sedum","ochroleucum Chaix.","","","","","","Centre France.; S-Europe.; SO-Roumanie","96-1288s*","12/07/1999","J.Alp.Paradisia Cogne (Italie)","A3 - ","Soleil sec","",""
"crassulaceae","Sedum","ochroleucum Chaix.","montanum D.A. Webb.","","","","","Centre France.; S-Europe.; SO-Roumanie","98-870s*","26/04/2001","J.Alp.Paradisia Cogne (Italie)","A3 - ","","","montanum Perr & song."
"Crassulaceae","Sedum","oreganum Nutt.","","","","","","Amérique boréale","89-1639s","","JBU.Liège (Belgique)","A3 - ","","",""
"Crassulaceae","Sedum","pachyclados Airch.","","","","","","Afghnistan","89-833s","","JBU.Liège (Belgique)"," - ","","",""
"Crassulaceae","Sedum","rupestre L.","","","","","","Europe","02-1100s","08/03/2004","JB.Al Pietra Corva (Italie)","A3 - ","Rocaille, Talus, murs","",""
"Crassulaceae","Sedum","sediforme Pau","","","","","","C-France.; Méditerranée.; Portugal.; N-Espagne","90-2500s","","Institut B.de Montjuic (Barcelogne)","A3 - ","","",""
"Crassulaceae","Sedum","sediforme Pau","","","","","","C-France.; Méditerranée.; Portugal.; N-Espagne","86-1194s*","","JBU.Berlin Dahlem (Allemagne)","A3 - ","","",""
"Crassulaceae","Sedum","serpentini Janchen","","","","","","Albanie","89-836s","","JBU.Liège (Belgique)","A3 - ","","",""
"Crassulaceae","Sedum","sp.","","","","","","","07-1315s","02/03/2009","JB.Prague (Rép.Tchèque)","A3 - ","","",""
"Crassulaceae","Sedum","spathulifolium Hook.","","","","","","Amérique boréale occidentale","88-2152s*","","JBU.Claremont USA."," - ","","",""
"Crassulaceae","Sedum","stenopetalum Pursh","","","","","","Amérique boréale occidentale","92-148s","","Inst.BU.Sch÷nbeinstr (Suisse)","A2 - ","","",""
"Crassulaceae","Sedum","taquetii Praeger","","","","","","Coré","96-1522s","","JBU.Hongrie","A3 - ","","",""
"Crassulaceae","Sedum","telephium L.","maximum Krocker","","","","","Europe et Sibérie","98-871s*","26/04/2001","J.Alp.Paradisia Cogne (Italie)","C7 - Pyrénées siliceuses","Rocailles, prés secs, bois clairs, champs, chemims (préf. silice)","",""
"Crassulaceae","Sedum","telephium L.","","","","","","Europe et Sibérie","00-679s*","21/03/2003","JBU.Fribourg (Suisse)","C7 - Pyrénées siliceuses","Rocailles, prés secs, bois clairs, champs, chemims (préf. silice)","",""
"Crassulaceae","Sedum","telephium L.","","","","","","Europe","Anc.coll.","","","A10 - ","","",""
"Crassulaceae","Sedum","ternatum Michx.","maximum Krocker.","","","","","Amérique boréale","89-837p","","JBU.Liège (Belgique)","A3 - ","","",""
"Crassulaceae","Sedum","caucasicum Boriss.","","","","","","Caucase","10.51s","29/03/2011","Université de Bayreuth (Allemagne)","B4 - Caucase","","",""
"Crassulaceae","Sedum","himalense D.Don","","","","","","Himalaya","10-52s","29/03/2011","J.B. Bayreuth (Allemagne)","E1 - Himalaya","","",""
"Crassulaceae","Sedum","hyperaizoon Komarov","","","","","","Sibérie","10.53s","29/03/2011","J.B. Bayreuth (Allemagne)","D1 - Chine, Japon","","",""
"Crassulaceae","Sedum","ochroleucum Chaix & Vill.","","","","","","NO-Yugoslavie","96-1976s*","12/05/1998","M.N.H.N Paris","A3 - ","","",""
"Crassulaceae","Sedum","telephium L.","telephium","","","","","Europe, Caucase, Chine, Japon","10.545s","29/03/2011","J.B FEB RAS, Blagoveschensk (Russie)","D3A - Chine, Japon","","Hylotelephium triphyllum (Haw.) Holub",""
"","Selaginella","denticulata Link","montanum D.A. Webb","","","","Natruralisé depuis très longtemps dans le jardin origine cultivée","S-Europe","02-480b","","JB.Nantes","E1 - Himalaya","","",""
"Crassulaceae","Sempervivum","alpinum Griseb. & Schenk","ochroleucum","","","","","France","89-3020s*","","JB.Basel 5 (Suisse)","A3 - ","","arvernense",""
"Crassulaceae","Sempervivum","arenarium Koch","","","","","","Europe australe","95-314s*","12/05/1998","J.Alp.U.Insbruck (Autriche)","A2 - ","","",""
"Crassulaceae","Sempervivum","arvernense Lecoq & Lamotte","","","","","","France","95-2629p*","","Mr.Figureau C.","A2 - ","","",""
"Crassulaceae","Sempervivum","arvernense Lecoq & Lamotte","","","","","","France","92-2022p","","Mr.Figureau C.","A3 - ","","",""
"Crassulaceae","Sempervivum","calcareum Jord.","","","","","","Europe australe","95-2158s","","JB.Lausanne (Suisse)","A3 - ","","",""
"Crassulaceae","Sempervivum","grandiflorum Haw.","","","","","","OC- & S-Alpes","97-1794s* bis","12/07/1999","J.Alp.Paradisia Cogne (Italie)","A3 - ","","",""
"Crassulaceae","Sempervivum","grandiflorum Haw.","","","","","","OC- & S-Alpes","92-1243s*","","J.Alp.Paradisia Cogne (Italie)","A3 - ","","",""
"Crassulaceae","Sempervivum","grandiflorum Haw.","","","","","","OC- & S-Alpes","90-3073s","","JB.Lausanne (Suisse)","A3 - ","","",""
"Crassulaceae","Sempervivum","heterotrichum Schott","","","","","","Europe orientale","87-572s","","Grugapark Essen (Allemagne)","A3 - ","","",""
"Crassulaceae","Sempervivum","hirsutum Pollini","","","","","","Europe australe","94-2370s*","","JB.Vienne (Autriche)","A2 - ","","hirtum",""
"Crassulaceae","Sempervivum","juvanii Strgar","","","","","","Yugoslavie","96-1713s","19/04/2000","JBU.Ljubljana (Slovénie)","A2 - ","","",""
"Crassulaceae","Sempervivum","montanum L.","","","","","","Europe méditerranée","94-2476s","","J.Alp.Belvedere Wien (Autriche)","A2 - ","","",""
"Crassulaceae","Sempervivum","montanum L.","","","","","","Europe méditerranée","92-1244s*","","J.Alp.Paradisia Cogne (Italie)","A3 - ","","",""
"Crassulaceae","Sempervivum","montanum L.","neilreichii","","","","","Europe méditerranée","95-2160s","12/05/1998","JB.Lausanne (Suisse)","A2 - ","","",""
"Crassulaceae","Sempervivum","montanum L.","","","","","","Europe méditerranée","94-2371s*","","JB.Vienne (Autriche)","A2 - ","","",""
"Crassulaceae","Sempervivum","reginae-amaliae Heldr. & Sart.","","","","","","Europe","95-549s","12/05/1998","JB.Arboretum der Stadt Linz (Autriche)","A2 - ","","tectorum",""
"Crassulaceae","Sempervivum","schottii Baker","","","","","","W., Centre et S. Europe, Pyrénées, Alpes","10.247s","29/03/2011","J.B. Klagenfurt (Autriche)","B3 - Alpes Calcaires","","Sempervivum tectorum L.",""
"Crassulaceae","Sempervivum","wulfenii Hoppe","","","","","","Est des Alpes, étendue locallement au centre des Alpes, Australie, Italie, Suisse.","94-2477s","","J.Alp.Belvedere Wien (Autriche)","A2 - ","Habituellement calcaire","",""
"Crassulaceae","Sempervivum","wulfenii Hoppe","","","","","","Est des Alpes, étendue locallement au centre des Alpes, Australie, Italie, Suisse.","98-1060s*","26/04/2001","JB.des Landes Kõrnten(Autriche)","A3 - ","Habituellement calcaire","",""
"Crassulaceae","Sempervivum","zeleborii Schott","","","","","","E-Europe.; C-Russie","95-2398s","12/05/1998","JB.St.Andrews (Ecosse)","A2 - ","","",""
"Asreraceae","Senecio","doronicum L.","","","","","","Sud & Centre Europe","08-1197s*","13/10/2010","J. Alpin du Lautaret        (France)","B4 - Pyrénnées","","",""
"Asteraceae","Senecio","przewalskii  Maxim.","","","","","","Mongolie","Anc.coll.","","","D3C - Chine, Japon","","",""
"Asteraceae","Serratula","coronata L.","","","","","","Sibérie","07-918s","28/03/2008","JB.Yeomjii (Corée)","B6 - Caucase","","",""
"Asteraceae","Serratula","marginata  Tausch","","","","","","Sibérie, Mongolie","07-859s*","28/03/2008","JB.Göteborg (Suède)","D3C - Japon","","",""
"Apiaceae","Seseli","libanotis Koch.","","","","","","Le plus souvent en Europe, excepter les extrèmes Nord, Ouest et Sud.(région euro-Sibérienne)","98-913s*","26/04/2001","JBU.Besançon (France)","A3 - ","","",""
"Poaceae","Seslaria","tenuifolia Schrader","","","","","","Italie, Ouest ex Yougoslavie, N-Albanie","01-988s*","08/03/2004","Université des sciences Cappito, l'Aquila (Italie)","E2 - Apennins","Rochers calcaires","",""
"Malvaceae","Sida","napaea Cav.","","","","","","N. Am.","10.418s","29/03/2011","J.B. Kaunas (Lituanie)","C3 - Am-du Nord","","S. hermaphrodita",""
"Lamiaceae","Sideritis","hyssopifolia L.","","","","","","S-Europe","06-1657s","05/05/2008","JBU.Bern (Suisse)","C3 - Péninsule Ibérique","Zones rocheuses des montagnes","",""
"Lamiaceae","Sideritis","syriaca L.","","","","","","S-Europe (depuis la Sicile jusqu'à la Crimée)","99-1281s*","21/03/2003","Université des sciences Cappito, l'Aquila (Italie)","C9 - Carpates-Balkans","Zones rocheuses des montagnes","",""
"Caryophyllaceae","Silene","acaulis Jacq.","","","","","","Europe arctique et hautes montagnes de l'O.& C. de l'Europe","99-1398s*","21/03/2003","Conservatoire et JB.de Genève (Suisse)","A2 - ","Rocailles humides, éboulis, humus des combes à neige (préf. silice)","",""
"Caryophyllaceae","Silene","alpestris Jacq.","","","","","","Alpes","05-1944s","06/11/2006","J.Alp.Vienne (Autriche)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Silene","chalcedonica E.H.L. Krause","","","","","","Russie","10-244s","29/03/2011","J.B. Innsbruck (Autriche)","B4 - Caucase","","",""
"Cariophyllaceae","Silene","fabaria Sibth.","fabaria","","","","","Grece","07-1917s","02/03/2009","JB.Athène (Grèce)","C5 - Chaînes Pontiques","Roches maritime","",""
"Caryophyllaceae","Silene","flos-jovis Greuter & Burdet","","","","","","Alpes","10.529s","29/03/2011","J. alpin la Ramberta, Montreux (Suisse)","B3 - Alpes Calcaires","Silice","",""
"Caryophllaceae","Silene","fruticosa L.","","","","","","Grèce.; Sicile","97-1408s","12/07/1999","JB.Nice (France)"," - ","","",""
"Caryophyllaceae","Silene","saxifraga L.","","","","","","Europe","02-1748s","27/03/2006","JB.Göteborg (Suède)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Silene","schafta S.G.Gmel.","","","","","","Caucase","08-11s","02/03/2009","JB.Oberhof (Allemagne)","B9 - Carpates-Balkans","","",""
"Caryophyllaceae","Silene","sp.","","","","","","","10.428s*","29/03/2011","Université de Gent (Belgique)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Silene","suecica Greuter & Burdet","","","","","","Europe","02-1820s*","27/03/2006","Conservatoire et JB.de Genève (Suisse)","C8 - Pyrénées siliceuses","","",""
"Caryophyllaceae","Silene","vallesia L.","","","","","","Alpes & Apennin (Italie)","05-1838s","06/11/2006","JB.Bern (Suisse)","E2 - Apennins","","",""
"Caryophyllaceae","Silene","zawadzkii Herbich.","","","","","","Carpathes","10.58s","29/03/2011","Université de Postdam (Allemagne)","C8 - Carpates-Balkans","","",""
